_step,val/test_score/simulation__arcagi1/unknown,val/test_score/stem__supergpqa/m-a-p/SuperGPQA,val/test_score/table__multihier/unknown,val/generations,val/test_score/codegen__mbpp/mbpp,val/test_score/logic__ordering_puzzle_dataset/unknown,val/test_score/math__amc_repeated_4x/unknown,val/test_score/math__math/unknown,val/test_score/math__aime_repeated_8x/unknown,val/test_score/logic__graph_logical_dataset/unknown,val/test_score/table__hitab/unknown,val/test_score/codegen__humaneval/openai_humaneval,val/test_score/stem__gpqa_diamond/Idavidrein/gpqa,val/test_score/simulation__codeio/unknown,val/test_score/codegen__livecodebench/LiveCodeBench,val/test_score/logic__zebra_puzzle_dataset/unknown,run_id,run_created_at,run_name
0,0.025,0.245,0.305,"{'ncols': 91, '_type': 'table-file', 'nrows': 1, 'sha256': '982aed3e28e432c2e368fd14785c836bb8d9d46c8a2ab4530325e89da1d24e32', 'size': 88285, 'path': 'media/table/val/generations_0_982aed3e28e432c2e368.table.json', '_latest_artifact_path': 'wandb-client-artifact://u1zgclcglsvz2s7y0y2rp34le6y309d9jp48hpeh36j0nz3j5vhi7mx48bazye7pibunnvc1m3qmzbkazjjlofhk0n2u31dz0qc7ryehaw37nzifm40zxp092yh1w1va:latest/val/generations.table.json', 'artifact_path': 'wandb-client-artifact://f8b8846gzr4pwiyeqcwo8tp34lkfhf4nvrigoko5vnz4uzmlrfsl8jxgbixv9m3v20lj7oxhxkkwlze4393w1h32bmhrj75svgaw69vth5iiulgiahpe1osjokj3ulfe/val/generations.table.json'}",0.66,0.28,0.30120481927710846,0.57,0.05,0.06493506493506493,0.49,0.725609756097561,0.2866161616161616,0.08,0.10752688172043011,0.041123918639495965,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
5,0.01,0.255,0.295,"{'nrows': 2, 'sha256': '47d7f98cdb1515c9f0939cc3ec73d28e5a88e93007d33194b4e20d4c3828ed64', '_type': 'table-file', 'ncols': 91, 'path': 'media/table/val/generations_4_47d7f98cdb1515c9f093.table.json', 'size': 195786, '_latest_artifact_path': 'wandb-client-artifact://5pfyzbjmh4t6bjboprsosktm7si3n3loa3692un0ygt6r7q1ambu7qmi9kaexp1xagx4u7i8f4ccxrghrvz0eulqoklahg17fp4y916dngkzfca0yw5kz49ru6l4fobb:latest/val/generations.table.json', 'artifact_path': 'wandb-client-artifact://u2d4iy0lhnyfok6svglltvs6hxe4t7dwlaheeuadc567ml11r0j0vxdlqa42ahs6pkw6kmcgpm33kdluhy8vkn5rbojhp4fdtropnsum72hvc9z4v33dzedvf60foi8n/val/generations.table.json'}",0.635,0.25,0.2680722891566265,0.586,0.06666666666666667,0.03896103896103896,0.455,0.7317073170731707,0.30934343434343436,0.05,0.08960573476702509,0.028795419000089167,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
10,0.025,0.26,0.305,"{'size': 295102, 'ncols': 91, 'nrows': 3, '_latest_artifact_path': 'wandb-client-artifact://x1httuwybnj45zznp8l92019kg0dfaxa0b9gulbsr9hflz8x6ub05uhlkcgsnfewqaxpqz3ax8s06tjphxfqa17jaz98v5r593w9p64c1i8nnboexxc4d5s5d1g84fjz:latest/val/generations.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://pbv5yokbb3nk0ld05rt52ivb0zdb1z905x88zx0k032l1ayar4cv0cjkpcpqs5ciwr2bb8jj75hsdlnok3isczigtrpzpsek00as0r6ib98lwd1ae35kqknabxa441ee/val/generations.table.json', 'path': 'media/table/val/generations_9_2ff1260685fafa96e388.table.json', 'sha256': '2ff1260685fafa96e3887e8b578d8b9942db147b84cba772ae5d8176a2e6b861'}",0.695,0.26,0.37650602409638556,0.664,0.05416666666666667,0.12987012987012986,0.53,0.725609756097561,0.3244949494949495,0.055,0.12186379928315412,0.09107081449590623,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
15,0.015,0.28,0.37,"{'_latest_artifact_path': 'wandb-client-artifact://h0rkz3wkkyyftnu0lxn0aoqh5r5vvdyb0llwi6cwpfdv5eqgdkcmegx0pmq20s2pblvr5xmi3hl95qghgzt5ef4w1wvlgz9qfsoiu8r0xukhwclxmnn9cqfl768l7ib9:latest/val/generations.table.json', 'artifact_path': 'wandb-client-artifact://kpxdaymeeqvxsw4x0lfgeyfsryy4naczazoon5m0am7gtfualz8kmk8d0cgd02cz10v3z539jnrkzv8bx0jnubee3ysvbqihfr5o9x8zeoe3eswfpog1700k12jxhbo4/val/generations.table.json', 'path': 'media/table/val/generations_14_2591ba9642445cc00c10.table.json', 'sha256': '2591ba9642445cc00c108795a7746e422c9e8a25c7e14660a5c0007c07f6f70d', '_type': 'table-file', 'ncols': 91, 'nrows': 4, 'size': 412260}",0.685,0.29,0.42168674698795183,0.706,0.10416666666666667,0.07792207792207792,0.595,0.7987804878048781,0.3181818181818182,0.11,0.1039426523297491,0.20327970691025257,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
20,0.02,0.27,0.385,"{'_type': 'table-file', 'artifact_path': 'wandb-client-artifact://g46oyp8k639nfp189d88ihzkl1tl4yy9v92ks5ea0117yckbuwdshy3y3cks7i06gejzwm6tfilgl19jickiovels7532ec92gryesqesc0ilg8mt7psrrjg5ignq0up/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://n0fyzp10rav1ksthk437fl7vtux0mfsiapgl3xi83f2v2byxlblogkiyf55x5wvgip5s5lxjzb9v95ovhv2veh3dr5l7kq8pnn33j4zct09iypyz42m74lb1s0a73an1:latest/val/generations.table.json', 'ncols': 91, 'nrows': 5, 'sha256': 'a6aff045e366f192ee506a97c7258a45f3b598fe873df977f7587a5a4edd37d7', 'path': 'media/table/val/generations_19_a6aff045e366f192ee50.table.json', 'size': 495384}",0.715,0.36,0.3825301204819277,0.724,0.12916666666666668,0.18181818181818182,0.61,0.7804878048780488,0.3282828282828283,0.1,0.12903225806451613,0.3182956300675869,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
25,0.03,0.265,0.4,"{'sha256': 'bbfb20126b242a24e52d21cbe1e9dfbee575a524e07e53e4ef744668bde3dc25', '_type': 'table-file', 'ncols': 91, 'size': 585979, '_latest_artifact_path': 'wandb-client-artifact://geg1uubkhz0ab1x4r6t4bj1ctethszdh3pirnvahc4yxajfhu4a1zi9xwlbi23ts6ghnvdtzdsbpapjgl2k42036lhx6v8gf29g0vhhvko67ko5g29dwui7b50i4kzf4:latest/val/generations.table.json', 'nrows': 6, 'path': 'media/table/val/generations_24_bbfb20126b242a24e52d.table.json', 'artifact_path': 'wandb-client-artifact://e90h9z5rc62jtrntq3tvpoq1yfineehwst6x6q678juagoleot5nhy8qmk3evds0bce8ftgfn4ndbqtmw2ma7hupzowdx82od0731sc6atn5g72ixfrmyc0t91mw3ef4/val/generations.table.json'}",0.705,0.31,0.4006024096385542,0.724,0.10833333333333334,0.2077922077922078,0.625,0.8048780487804879,0.31691919191919193,0.11,0.15770609318996415,0.3428500350192189,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
30,0.02,0.33,0.425,"{'nrows': 7, 'size': 675909, '_type': 'table-file', 'ncols': 91, 'path': 'media/table/val/generations_29_b20e1ec378603139cec2.table.json', 'sha256': 'b20e1ec378603139cec2477814b6a5d99cc934e0e70d590b93a832b1c40abd79', '_latest_artifact_path': 'wandb-client-artifact://ro61pvy9us41pmdbqcp7qzmwzavgbrioss54o192te8fw4xcrtpyus8oui7fja2hke95rlurl831p0s6nk6bvr09s8z7bmmapdn5cx4if5hy6qjtevijfij32dte18z3:latest/val/generations.table.json', 'artifact_path': 'wandb-client-artifact://kebgzam8pd3mdvov6jcqrv6o2f74xr401vwxr8eyy7l0upmwiee9i885txk7uwgnoos9jrh0298kds4k9z5mhynq1zg4dq3ejm2uevmd68wbmtn0jfa2up596ajpyyux/val/generations.table.json'}",0.705,0.35,0.4307228915662651,0.742,0.11666666666666667,0.2077922077922078,0.69,0.7621951219512195,0.3207070707070707,0.125,0.16487455197132617,0.3602805656939745,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
35,0.035,0.265,0.395,"{'size': 766261, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://2txknu1lmez1v30lncnirjkc9a09t1fjmkqv9ffhxfd1mdw27g0yi1qphp1jv69vne1aqfe164nae33hsw3ypzx48rvxpufiad670639r3xu3i2oibsvh7caeu36wwbi/val/generations.table.json', 'ncols': 91, 'path': 'media/table/val/generations_34_8ab7eac3aa1e89858eff.table.json', 'sha256': '8ab7eac3aa1e89858eff9781b736621b3d32b192784ce142083bd7d24239eb79', 'nrows': 8, '_latest_artifact_path': 'wandb-client-artifact://axf6375ifywp6z3dg8m8zfsu58qjvqd3ykcqas141g4csdeo9d2lyivjs6g2d9kcxg61ljdjijuc3ac1bmhb8ivm5dux209157zrfceg2putscj78kv4csaf19tei0w3:latest/val/generations.table.json'}",0.74,0.44,0.45180722891566266,0.758,0.13333333333333333,0.19480519480519481,0.69,0.75,0.33207070707070707,0.135,0.15770609318996415,0.3558235256373882,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
40,0.035,0.235,0.41,"{'_latest_artifact_path': 'wandb-client-artifact://9audueilzz2p1vrgkwito5s4hmdyoxgiz49y0zfus1b2afk51pwc9bug60dbhil5m88e2jtgmmm0gn1kyay4uvqjtrg2roix5hywd2g6zevkfnnbyliobww52ikliu7u:latest/val/generations.table.json', 'nrows': 9, 'sha256': '3d9fc1d1ca543a4bbedd2f6b734141c0b23f84822b4bbf283beefc6cdd4894e8', 'ncols': 91, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://8mzoidycpbiygep86xbltsbt1shuasvu3o44tyw3rtbitbosgb17rschd193mxnpy1emyqdyl0k8qiecpk6471lkgig2e5x7rbijdji9gilo5hzeys35mg6tn9sboc9i/val/generations.table.json', 'size': 897725, 'path': 'media/table/val/generations_39_3d9fc1d1ca543a4bbedd.table.json'}",0.695,0.42,0.44879518072289154,0.73,0.15,0.22077922077922077,0.675,0.8292682926829268,0.3409090909090909,0.115,0.17562724014336917,0.37174212738871576,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
45,0.075,0.3,0.4,"{'path': 'media/table/val/generations_44_4729c0e5bac51e83b283.table.json', 'ncols': 91, 'sha256': '4729c0e5bac51e83b2835d7d6f87ec49c0d75cd8bd0ba127ce657a49f523f05b', 'size': 991339, '_latest_artifact_path': 'wandb-client-artifact://o0jzww4m9yc61ovbyfk3tx0o5tmkadqi5jl4gh1l0hmcuk4rknc4botox19xpedlavki9aglis6byiv6rl4fiyamn1t4f8mnyolf5anqxsf1s4ggqvs5iadiu8m7lkof:latest/val/generations.table.json', '_type': 'table-file', 'nrows': 10, 'artifact_path': 'wandb-client-artifact://j8lf97id881nhvkv96ip9fbt8bp6n5z1lqa57f4psfw2zcselbcwa5gc872353upac1ntqwrezy7t5s012bvujo6tftb7n9m57ww03vkv8dba4h4mwy1v3xn2n18ki3b/val/generations.table.json'}",0.7,0.45,0.46686746987951805,0.75,0.1375,0.19480519480519481,0.67,0.7987804878048781,0.29292929292929293,0.155,0.16129032258064516,0.3573585845157504,jz8lbvjz,2025-05-14T03:15:19Z,70459-zhoujun-mix-guru18k-models--Qwen--Qwen2.5-7B-think
